projectID,avg,midAvg,totalTimes,std,sig
query_IoTDB_aggTi_2018_12_02_02_38_18_271,0.9274,0.9123,0.9274,0.9704,True
query_IoTDB_aggTi_2018_12_02_02_38_33_783,-0.0146,-0.0095,-0.0146,0.1564,False
query_IoTDB_aggTi_2018_12_02_02_38_49_366,0.0555,-0.0104,0.0555,0.7396,False
query_IoTDB_criteri_2018_12_02_02_39_20_017,-3.1630,-3.2581,-3.1630,-0.1431,True
query_IoTDB_criteri_2018_12_02_02_39_42_117,-3.2654,-3.2523,-3.2654,-1.0606,True
query_IoTDB_criteri_2018_12_02_02_40_03_305,-3.2450,-3.2821,-3.2450,-0.0617,True
query_IoTDB_exact_2018_12_02_02_40_35_154,-2.5753,-2.9933,-2.5753,0.8499,True
query_IoTDB_exact_2018_12_02_02_40_56_371,-3.0423,-3.0548,-3.0423,-0.5794,True
query_IoTDB_exact_2018_12_02_02_41_17_109,-3.1431,-3.1639,-3.1431,-0.6400,True
query_IoTDB_group_2018_12_02_02_41_50_770,0.9000,0.9144,0.9000,0.3339,True
query_IoTDB_group_2018_12_02_02_42_15_032,-0.0413,-0.0442,-0.0413,0.3703,False
query_IoTDB_group_2018_12_02_02_42_38_172,-0.0188,-0.0267,-0.0188,0.4758,False
query_IoTDB_latest_2018_12_02_02_43_14_598,0.2303,0.2100,0.2303,0.5875,True
query_IoTDB_latest_2018_12_02_02_43_37_262,-0.0188,-0.0160,-0.0188,0.2497,False
query_IoTDB_latest_2018_12_02_02_43_58_955,-0.0359,-0.0133,-0.0359,-0.5332,True
query_IoTDB_range_2018_12_02_02_44_34_737,-3.0800,-3.0982,-3.0800,-1.0340,True
query_IoTDB_range_2018_12_02_02_44_57_550,-2.9967,-2.9966,-2.9967,-0.9827,True
query_IoTDB_range_2018_12_02_02_45_18_560,-2.9707,-3.0144,-2.9707,-0.7003,True
